,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
435,3-propylcyclopentene,dichloromethane,-0.88,0.94,0,3,DOI: 10.1021/ja0121538
436,3-pyrrolidino-1H-indene (in MeCN),MeCN,15.27,0.93,0,3,DOI: 10.1055/s-0037-1611634
437,30% water/70% HFIP (w/w),water-HFIP mix,1.65,0.96,0,3,DOI: 10.1002/poc.3064
438,33% ethanol/67% MeCN (v/v),EtOH-MeCN mix,6.06,0.90,0,3,DOI: 10.1021/ja031828z
439,33% methanol/67% MeCN (v/v),MeOH-MeCN mix,6.38,0.92,0,3,DOI: 10.1021/ja031828z
440,33% water/67% MeCN (v/v),water-MeCN mix,5.02,0.90,0,3,DOI: 10.1021/ja031828z
441,"4,4,5,5-tetramethyl-2-prop-2-enyl-1,3,2-dioxaborolane (in CH2Cl2)",dichloromethane,-0.64,1.10,0,3,DOI: 10.1021/jacs.7b10240
442,"4,4-dimethyl-glutarimide anion (in DMSO)",DMSO,17.52,0.63,0,3,DOI: 10.1021/jo1009883
443,"4,5-dimethyl-1,3-dioxolane (anti)",dichloromethane,-2.40,0.80,0,1,DOI: 10.1002/chem.201202839
444,"4,5-dimethyl-2-vinyl-1,3-dioxolane",dichloromethane,-2.60,0.80,0,1,DOI: 10.1002/chem.201202839
445,4-(2-(fluorodiphenylmethyl)pyrrolidin-1-yl)pyridine,dichloromethane,14.57,0.75,0,3,DOI: 10.1002/ejoc.201301730
446,4-(bis(trimethylsiloxy)amino)pent-4-enoic acid methyl ester,dichloromethane,3.84,0.87,0,3,DOI: 10.1021/jo0015927
447,4-(dimethylamino)pyridine (in 91M9AN),MeOH-MeCN mix,13.20,0.67,0,1,DOI: 10.1002/chem.200600941
448,4-(dimethylamino)pyridine (in CH2Cl2),dichloromethane,15.80,0.66,0,3,DOI: 10.1002/chem.200600941
449,4-(dimethylamino)pyridine (in DMF),DMF,14.90,0.67,0,1,DOI: 10.1002/chem.200600941
450,4-(dimethylamino)pyridine (in DMSO),DMSO,14.80,0.67,0,1,DOI: 10.1002/chem.200600941
451,4-(dimethylamino)pyridine (in H2O),water,13.19,0.56,0,3,DOI: 10.1002/chem.200600941
452,4-(dimethylamino)pyridine (in MeCN),MeCN,15.51,0.62,0,3,DOI: 10.1021/jp3049247
453,4-(dimethylamino)pyridine (in THF),THF,15.90,0.66,0,3,DOI: 10.1002/anie.201102435
454,4-(morpholino)pyridine (in CH2Cl2),dichloromethane,14.59,0.69,0,3,DOI: 10.1002/ejoc.201600572
455,4-(morpholino)pyridine (in MeCN),MeCN,14.80,0.63,0,3,DOI: 10.1021/jp3049247
456,4-(trifluoromethyl)thiophenolate (in DMSO),DMSO,21.30,0.86,0,3,DOI: 10.1021/acs.joc.1c00025
457,4-(trimethylsilyl)but-1-en-3-ynyl-Co2(CO)5(PPh3),dichloromethane,-0.76,0.90,0,1,DOI: 10.1021/ar020094c
458,4-(trimethylsilyl)but-1-en-3-ynyl-Co2(CO)6,dichloromethane,-1.11,0.92,0,3,DOI: 10.1021/ja010890y
459,4-acetamido-pyridine (in MeCN),MeCN,13.24,0.67,0,3,DOI: 10.1021/jp3049247
460,"4-amino-3,5-dibromo-pyridine (in MeCN)",MeCN,11.11,0.75,0,3,DOI: 10.1021/jp3049247
461,4-aminopyridine (in CH2Cl2),dichloromethane,15.20,0.67,0,1,DOI: 10.1002/chem.200600941
462,4-aminopyridine (in H2O),water,12.19,0.66,0,3,DOI: 10.1002/chem.200600941
463,4-bromothiophenolate (in DMSO),DMSO,22.80,0.78,0,3,DOI: 10.1021/acs.joc.1c00025
464,4-chloroaniline (in MeCN),MeCN,12.92,0.60,0,3,DOI: 10.1021/jo062586z
465,4-chloropyridine (in CH2Cl2),dichloromethane,11.70,0.67,0,1,DOI: 10.1002/chem.200600941
466,4-chloropyridine (in H2O),water,10.50,0.73,0,1,DOI: 10.1002/chem.200600941
467,4-cyanophenyl isocyanide,dichloromethane,3.57,0.72,0,2,DOI: 10.1002/anie.200605205
468,4-fluoroperoxybenzoate (in H2O),water,17.99,0.47,0,3,DOI: 10.1002/anie.201707086
469,4-formyl-imidazole anion (in DMSO),DMSO,16.40,0.67,0,3,DOI: 10.1002/chem.201102411
470,4-methoxy-indole,MeCN,5.41,1.10,0,1,DOI: 10.1021/jo0614339
471,4-methoxyaniline (in MeCN),MeCN,13.42,0.73,0,3,DOI: 10.1021/jo062586z
472,4-methoxyaniline (in water),water,14.28,0.68,0,3,DOI: 10.1002/cplu.201500246
473,4-methoxyperoxybenzoate (in H2O),water,17.84,0.46,0,3,DOI: 10.1002/anie.201707086
474,4-methoxypyridine (in CH2Cl2),dichloromethane,13.70,0.67,0,1,DOI: 10.1002/chem.200600941
475,4-methoxypyridine (in H2O),water,11.44,0.68,0,3,DOI: 10.1002/chem.200600941
476,4-methoxythiophenolate (in DMSO),DMSO,24.97,0.68,0,3,DOI: 10.1021/acs.joc.1c00025
477,"4-methyl-2,5-heptadiene",dichloromethane,-0.73,0.97,0,1,DOI: 10.1021/ja0121538
478,"4-methyl-5-(trimethylsiloxy)-2,3-dihydrofuran",dichloromethane,11.50,0.91,0,3,DOI: 10.1002/ejoc.200400134
479,4-methyl-imidazole (in MeCN),MeCN,11.79,0.77,0,3,DOI: 10.1039/c000965b
480,4-methyl-imidazole anion (in DMSO),DMSO,21.29,0.51,0,3,DOI: 10.1002/chem.201102411
481,4-methyl-N-(2-phenylethynyl)-N-(phenylmethyl)benzenesulfonamide,dichloromethane,3.85,0.84,0,3,DOI: 10.1002/anie.201402055
482,"4-methyl-penta-1,3-diene",dichloromethane,2.60,1.00,0,1,DOI: 10.1021/ar020094c
483,4-methyl-quinoline alias lepidine (in MeCN),MeCN,11.60,0.62,0,3,DOI: 10.1021/jo901670w
484,4-methylpiperazin-1-yl dithiocarbamate (in MeCN),MeCN,23.61,0.57,0,3,DOI: 10.1039/c1ob06245j
485,4-methylpyridine (in CH2Cl2),dichloromethane,13.70,0.67,0,1,DOI: 10.1002/chem.200600941
486,4-methylpyridine (in H2O),water,11.10,0.75,0,3,DOI: 10.1002/chem.200600941
487,4-methylthiophenolate (in DMSO),DMSO,24.35,0.69,0,3,DOI: 10.1021/acs.joc.1c00025
488,4-nitro-imidazole anion (in DMSO),DMSO,14.81,0.71,0,3,DOI: 10.1002/chem.201102411
489,4-nitro-imidazole anion (in water),water,11.37,0.53,0,3,DOI: 10.1002/chem.201102411
490,4-nitroperoxybenzoate (in H2O),water,17.43,0.50,0,3,DOI: 10.1002/anie.201707086
491,4-nitrothiophenolate (in DMSO),DMSO,18.92,0.87,0,3,DOI: 10.1021/acs.joc.1c00025
492,4-pyridone anion (in DMSO),DMSO,18.97,0.62,0,3,DOI: 10.1021/ja106962u
493,4-pyridone anion (in MeCN),MeCN,20.22,0.49,0,3,DOI: 10.1021/ja106962u
494,4-pyridone anion (in water),water,14.76,0.48,0,3,DOI: 10.1021/ja106962u
495,4-pyrrolidinopyridine (in CH2Cl2),dichloromethane,15.90,0.67,0,1,DOI: 10.1002/chem.200600941
496,4-pyrrolidinopyridine (in H2O),water,12.39,0.66,0,3,DOI: 10.1002/chem.200600941
497,4-pyrrolidinopyridine (in MeCN),MeCN,14.99,0.69,0,3,DOI: 10.1002/chem.201204452
498,40% water/60%EtOH (v/v),water-EtOH mix,6.28,0.87,0,3,DOI: 10.1021/ja031828z
499,40% water/60%TFE (v/v),water-TFE mix,3.42,0.90,0,3,DOI: 10.1021/ja031828z
500,5% water/95% HFIP (w/w),water-HFIP mix,-0.10,0.97,0,3,DOI: 10.1002/poc.3064
501,"5,6-dimethyl-benzimidazole (in DMSO)",DMSO,11.08,0.71,0,3,DOI: 10.1039/c000965b
502,"5-(4-(dimethylamino)benzyl)-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide",MeCN,7.15,0.81,0,3,DOI: 10.1002/chem.201403161
503,"5-(4-(dimethylamino)benzyl)-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide (in DMSO)",DMSO,14.48,0.86,0,3,DOI: 10.1002/chem.201403161
504,"5-(4-(methoxy)benzyl)-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide",MeCN,6.21,0.68,0,3,DOI: 10.1002/chem.201403161
505,"5-(4-(methoxy)benzyl)-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide (in DMSO)",DMSO,15.13,0.75,0,3,DOI: 10.1002/chem.201403161
506,"5-(4-cyanobenzyl)-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide (in DMSO)",DMSO,13.79,0.86,0,3,DOI: 10.1002/chem.201403161
507,"5-(trimethylsiloxy)-2,3-dihydrofuran",dichloromethane,12.56,0.70,0,5,DOI: 10.1021/ja010890y
508,"5-(trimethylsiloxy)-2,3-dihydrofuran (in MeCN)",MeCN,12.34,0.72,0,3,DOI: 10.1021/ja401106x
509,"5-(triphenylsiloxy)-2,3-dihydrofuran",dichloromethane,11.28,0.91,0,3,DOI: 10.1002/ejoc.200400706
510,"5-(tris(pentafluorophenyl)siloxy)-2,3-dihydrofuran",dichloromethane,8.16,0.67,0,3,DOI: 10.1002/ejoc.200400706
511,5-amino-indole,MeCN,7.22,1.10,0,1,DOI: 10.1021/jo0614339
512,"5-benzyl-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide",MeCN,5.51,0.70,0,3,DOI: 10.1002/chem.201403161
513,"5-benzyl-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide (in DMSO)",DMSO,15.02,0.75,0,3,DOI: 10.1002/chem.201403161
514,5-bromo-indole,MeCN,4.38,1.10,0,1,DOI: 10.1021/jo0614339
515,5-chloro-2-methylindole,MeCN,6.08,1.10,0,1,DOI: 10.1021/jo0614339
516,5-chloro-indole,MeCN,4.42,1.10,0,1,DOI: 10.1021/jo0614339
517,5-cyano-indole,MeCN,2.83,1.10,0,1,DOI: 10.1021/jo0614339
518,5-hydroxy-indole,MeCN,6.44,1.10,0,1,DOI: 10.1021/jo0614339
519,5-methoxy-2-methylindole,MeCN,7.26,1.10,0,1,DOI: 10.1021/jo0614339
520,5-methoxy-benzimidazole (in DMSO),DMSO,11.00,0.71,0,1,DOI: 10.1039/c000965b
521,5-methoxy-indole,dichloromethane,6.22,1.12,0,3,DOI: 10.1021/jo0614339
522,5-methyl-benzimidazole (in DMSO),DMSO,10.69,0.79,0,3,DOI: 10.1039/c000965b
523,5-methyl-indole,MeCN,6.00,1.10,0,1,DOI: 10.1021/jo0614339
524,50% ethanol/50% MeCN (v/v),EtOH-MeCN mix,6.37,0.90,0,3,DOI: 10.1021/ja031828z
525,50% methanol/50% MeCN (v/v),MeOH-MeCN mix,6.67,0.90,0,3,DOI: 10.1021/ja031828z
526,50% water/50% HFIP (w/w),water-HFIP mix,1.50,1.03,0,3,DOI: 10.1002/poc.3064
527,50% water/50% MeCN (v/v),water-MeCN mix,5.05,0.89,0,3,DOI: 10.1021/ja031828z
528,50% water/50%EtOH (v/v),water-EtOH mix,5.96,0.89,0,3,DOI: 10.1021/ja031828z
529,50% water/50%TFE (v/v),water-TFE mix,3.57,0.89,0,3,DOI: 10.1021/ja031828z
530,"6,6-dimethylfulvene",MeCN,3.93,0.88,0,3,DOI: 10.1002/ejoc.200801099
531,6-(4-dimethylamino-phenyl)fulvene,MeCN,6.72,0.87,0,3,DOI: 10.1002/ejoc.200801099
532,6-(julolidin-9-yl)fulvene,MeCN,7.79,1.06,0,3,DOI: 10.1002/ejoc.200801099
533,6-methoxy-quinoline (in MeCN),MeCN,10.86,0.66,0,3,DOI: 10.1021/jo901670w
534,"6-methyl-3-(phenyl-l3-iodanylidene)dihydro-2H-pyran-2,4(3H)-dione (in CH2Cl2)",dichloromethane,4.67,0.92,0,3,DOI: 10.1021/jacs.6b05768
535,60% water/40%EtOH (v/v),water-EtOH mix,5.81,0.90,0,3,DOI: 10.1021/ja031828z
536,60% water/40%TFE (v/v),water-TFE mix,3.77,0.88,0,3,DOI: 10.1021/ja031828z
537,67% ethanol/33% MeCN (v/v),EtOH-MeCN mix,6.74,0.89,0,3,DOI: 10.1021/ja031828z
538,67% methanol/33% MeCN (v/v),MeOH-MeCN mix,7.01,0.91,0,3,DOI: 10.1021/ja031828z
539,67% water/33% MeCN (v/v),water-MeCN mix,5.05,0.90,0,3,DOI: 10.1021/ja031828z
540,7% water/93% HFIP (w/w),water-HFIP mix,0.34,0.96,0,3,DOI: 10.1002/poc.3064
541,7-azaindole,MeCN,3.87,1.10,0,1,DOI: 10.1021/jo0614339
542,80% ethanol/20% MeCN (v/v),EtOH-MeCN mix,6.94,0.90,0,3,DOI: 10.1021/ja031828z
543,80% methanol/20% MeCN (v/v),MeOH-MeCN mix,7.20,0.89,0,3,DOI: 10.1021/ja031828z
544,80% water/20% MeCN (v/v),water-MeCN mix,5.04,0.89,0,3,DOI: 10.1021/ja031828z
545,80% water/20%EtOH (v/v),water-EtOH mix,5.54,0.94,0,3,DOI: 10.1021/ja031828z
546,80% water/20%TFE (v/v),water-TFE mix,4.78,0.83,0,3,DOI: 10.1021/ja031828z
547,"9,10-dihydroanthracene",dichloromethane,-0.86,0.92,0,3,DOI: 10.1021/ja0121538
548,9-methyl guanine anion (in water),water,10.77,0.65,0,3,DOI: 10.1002/chem.201102411
549,90% water/10%EtOH (v/v),water-EtOH mix,5.38,0.91,0,3,DOI: 10.1021/ja031828z
550,90% water/10%TFE (v/v),water-TFE mix,5.04,0.90,0,3,DOI: 10.1021/ja031828z
551,91% ethanol/9% MeCN (v/v),EtOH-MeCN mix,7.10,0.90,0,3,DOI: 10.1021/ja031828z
552,91% methanol/9% MeCN (v/v),MeOH-MeCN mix,7.45,0.87,0,3,DOI: 10.1021/ja031828z
553,91% n-propanol/9% MeCN (v/v),nPrOH-MeCN mix,7.05,0.80,0,3,DOI: 10.1139%2Fv05-170
554,91% propan-2-ol/9% MeCN (v/v),iPrOH-MeCN mix,6.49,0.96,0,3,DOI: 10.1139%2Fv05-170
555,91% water/9% MeCN (v/v),water-MeCN mix,5.16,0.91,0,3,DOI: 10.1021/ja031828z
556,acetate (in 80A20W),aq acetone,12.50,0.60,0,2,DOI: 10.1021/ja0765464
557,acetate (in 90A10W),aq acetone,12.71,0.68,0,3,DOI: 10.1021/ja0765464
558,acetate (in MeCN),MeCN,16.90,0.75,0,3,DOI: 10.1021/ja0765464
559,acetonitrile (in MeCN),MeCN,2.23,0.84,0,3,DOI: 10.1021/ja306522b
560,adenine anion (in DMSO),DMSO,18.00,0.55,0,3,DOI: 10.1002/chem.201102411
561,adenine anion (in water),water,10.93,0.62,0,3,DOI: 10.1002/chem.201102411
562,"alanine (anionic, in water)",water,13.01,0.58,0,3,DOI: 10.1039/b713778h
563,allyl-tert.butyl-dimethylsilane,dichloromethane,1.80,0.95,0,1,DOI: 10.1021/ar020094c
564,allylamine (in MeCN),MeCN,14.37,0.66,0,3,DOI: 10.1002/ejoc.200900925
565,allylamine (in water),water,13.21,0.54,0,3,DOI: 10.1021/jo062586z
566,allylbenzene,dichloromethane,-4.12,0.97,0,1,DOI: 10.1021/ja0121538
567,allylchlorodimethylsilane,dichloromethane,-0.57,1.06,0,5,DOI: 10.1021/ja306522b
568,allyltri-n-butylsilane,dichloromethane,2.09,0.95,0,1,DOI: 10.1021/ar020094c
569,allyltributylstannane,dichloromethane,5.46,0.89,0,5,DOI: 10.1021/ja010890y
570,allyltriethylsilane,dichloromethane,1.93,0.95,0,1,DOI: 10.1021/ar020094c
571,allyltrihexylsilane,dichloromethane,2.11,0.95,0,1,DOI: 10.1021/ar020094c
572,allyltriisopropylsilane,dichloromethane,2.04,0.95,0,1,DOI: 10.1021/ar020094c
573,allyltrimethylsilane,dichloromethane,1.68,1.00,0,5,DOI: 10.1021/ja306522b
574,allyltriphenylgermane,dichloromethane,1.20,0.90,0,1,DOI: 10.1021/ar020094c
575,allyltriphenylsilane,dichloromethane,-0.13,1.21,0,5,DOI: 10.1021/ja010890y
576,allyltriphenylstannane,dichloromethane,3.09,0.90,0,5,DOI: 10.1021/ja010890y
577,allyltris(trimethylsilyl)silane,dichloromethane,1.95,0.98,0,3,DOI: 10.1021/ol102220e
578,alpha-(N-morpholino)styrene,dichloromethane,9.96,0.79,0,3,DOI: 10.1002/chem.200204666
579,alpha-(N-morpholino)styrene (in MeCN),MeCN,10.30,0.80,0,1,DOI: 10.1002/chem.201705962
580,alpha-(N-piperidino)styrene (in MeCN),MeCN,11.60,0.80,0,1,DOI: 10.1002/chem.201705962
581,alpha-(pentamethyldisilyl)styrene,dichloromethane,0.61,1.01,0,3,DOI: 10.1002/chem.201303215
582,alpha-(trimethylsilyl)styrene,dichloromethane,-1.13,1.46,0,3,DOI: 10.1002/chem.201303215
583,alpha-methylstyrene,dichloromethane,2.35,1.00,0,1,DOI: 10.1021/ar020094c
584,ammonia (in MeCN),MeCN,11.39,0.69,0,3,DOI: 10.1021/jo301497g
585,ammonia (in water),water,9.48,0.59,0,3,DOI: 10.1021/jo062586z
586,aniline (in MeCN),MeCN,12.64,0.68,0,3,DOI: 10.1021/jo062586z
587,aniline (in water),water,12.99,0.73,0,3,DOI: 10.1021/jo062586z
588,anion of (3-nitrophenyl)nitromethane (in 91M9AN),MeOH-MeCN mix,14.75,0.71,0,3,DOI: 10.1002/ejoc.200500769
589,anion of (3-nitrophenyl)nitromethane (in DMSO),DMSO,18.06,0.71,0,3,DOI: 10.1021/jo048773j
590,anion of (3-nitrophenyl)nitromethane (in water),water,14.25,0.46,0,3,DOI: 10.1021/jo048773j
591,anion of (4-CF3-C6H4)CH2SO2Ph (in DMSO),DMSO,24.30,0.51,0,3,DOI: 10.1039/b805604h
592,anion of (4-CN-C6H4)CH2SO2Ph (in DMSO),DMSO,22.60,0.57,0,3,DOI: 10.1039/b805604h
593,anion of (4-cyanophenyl)nitromethane (in 91M9AN),MeOH-MeCN mix,13.92,0.74,0,3,DOI: 10.1002/ejoc.200500769
594,anion of (4-cyanophenyl)nitromethane (in DMSO),DMSO,16.96,0.73,0,3,DOI: 10.1021/jo048773j
595,anion of (4-cyanophenyl)nitromethane (in water),water,13.23,0.52,0,3,DOI: 10.1021/jo048773j
596,anion of (4-nitrophenyl)nitromethane (in 91M9AN),MeOH-MeCN mix,14.05,0.72,0,3,DOI: 10.1002/ejoc.200500769
597,anion of (4-nitrophenyl)nitromethane (in DMSO),DMSO,16.29,0.75,0,3,DOI: 10.1021/jo048773j
598,anion of (4-nitrophenyl)nitromethane (in water),water,13.58,0.52,0,3,DOI: 10.1021/jo048773j
599,anion of (4-NO2-C6H4)CH2SO2Ph (in DMSO),DMSO,18.50,0.75,0,3,DOI: 10.1039/b805604h
600,anion of (4-NO2-C6H4)CH2SO2Ph (in MeCN),MeCN,19.90,0.66,0,3,DOI: 10.1021/jacs.0c01960
601,anion of (benzylsulfonyl)benzene (in DMSO),DMSO,25.77,0.56,0,3,DOI: 10.1002/chem.201404500
602,anion of (phenylmethylenedisulfonyl)dibenzene (in DMSO),DMSO,15.07,0.79,0,3,DOI: 10.1002/ejoc.201601513
603,"anion of 1,2,3-triphenylpropane-1,3-dione (in DMSO)",DMSO,14.99,0.83,0,3,DOI: 10.1002/ejoc.201601513
604,"anion of 1,2-diphenylethanone (in DMSO)",DMSO,23.15,0.60,0,3,DOI: 10.1002/chem.201404500
605,"anion of 1,3-diphenylpropane-1,3-dione (in DMSO)",DMSO,17.46,0.65,0,3,DOI: 10.1002/chem.201404500
606,anion of 1-phenyl-2-(phenylsulfonyl)ethanone (in DMSO),DMSO,17.19,0.56,0,3,DOI: 10.1002/chem.201404500
607,"anion of 1-phenylbutane-1,3-dione (in DMSO)",DMSO,16.03,0.86,0,3,DOI: 10.1002/chem.201404500
608,anion of 1-phenylpropan-2-one (in DMSO),DMSO,24.99,0.60,0,3,DOI: 10.1002/chem.201404500
609,anion of 2-(4-CN-C6H4)propionitrile (in DMSO),DMSO,25.35,0.56,0,3,DOI: 10.1021/jo802241x
610,anion of 2-(4-NO2-C6H4)propionitrile (in DMSO),DMSO,19.61,0.60,0,3,DOI: 10.1021/jo802241x
611,anion of 2-nitro-1-phenylethan-1-one (in DMSO),DMSO,13.91,0.76,0,3,DOI: 10.1002/chem.201404500
612,anion of 2-nitropropane (in 91M9AN),MeOH-MeCN mix,12.20,0.71,0,3,DOI: 10.1002/ejoc.200500769
613,anion of 2-nitropropane (in DMSO),DMSO,20.61,0.69,0,3,DOI: 10.1021/jo048773j
614,anion of 2-nitropropane (in water),water,10.69,0.56,0,3,DOI: 10.1021/jo048773j
615,anion of 2-phenyl-2-(phenylsulfonyl)acetonitrile (in DMSO),DMSO,15.97,0.72,0,3,DOI: 10.1002/ejoc.201601513
616,anion of 2-phenyl-propionitrile (in DMSO),DMSO,28.95,0.58,0,3,DOI: 10.1021/jo802241x
617,anion of 2-phenylmalononitrile (in DMSO),DMSO,15.58,1.00,0,3,DOI: 10.1002/ejoc.201601513
618,anion of 3-methyl acetylacetone (in DMSO),DMSO,18.38,0.72,0,3,DOI: 10.1021/ja036838e
619,anion of 3-methyl acetylacetone (in water),water,14.33,0.69,0,3,DOI: 10.1021/ja036838e
620,anion of 3-oxo-3-phenylpropanenitrile (in DMSO),DMSO,16.55,0.78,0,3,DOI: 10.1002/chem.201404500
621,anion of 4-(trifluoromethyl)benzyl trifluoromethyl sulfone (in 91M9AN),MeOH-MeCN mix,20.72,0.58,0,3,DOI: 10.1021/ja072135b
622,anion of 4-(trifluoromethyl)benzyl trifluoromethyl sulfone (in DMSO),DMSO,17.33,0.74,0,3,DOI: 10.1021/ja072135b
623,anion of 4-(trifluoromethyl)benzyl trifluoromethyl sulfone (in MeCN),MeCN,16.15,0.99,0,3,DOI: 10.1021/jacs.0c01960
624,anion of 4-(trifluoromethyl)benzyl-CN (in DMSO),DMSO,27.28,0.50,0,3,DOI: 10.1021/jo802241x
625,anion of 4-cyanobenzyl trifluoromethyl sulfone (in 91M9AN),MeOH-MeCN mix,19.49,0.63,0,3,DOI: 10.1021/ja072135b
626,anion of 4-cyanobenzyl trifluoromethyl sulfone (in DMSO),DMSO,16.28,0.75,0,3,DOI: 10.1021/ja072135b
627,anion of 4-cyanobenzyl trifluoromethyl sulfone (in MeCN),MeCN,15.62,0.99,0,3,DOI: 10.1021/jacs.0c01960
628,anion of 4-cyanobenzyl-CN (in DMSO),DMSO,25.11,0.54,0,3,DOI: 10.1021/jo802241x
629,anion of 4-methylbenzyl trifluoromethyl sulfone (in DMSO),DMSO,19.35,0.67,0,3,DOI: 10.1021/ja072135b
630,anion of 4-nitrobenzyl trifluoromethyl sulfone (in 91M9AN),MeOH-MeCN mix,18.24,0.66,0,3,DOI: 10.1021/ja072135b
631,anion of 4-nitrobenzyl trifluoromethyl sulfone (in DMSO),DMSO,14.49,0.86,0,3,DOI: 10.1021/ja072135b
632,anion of 4-nitrobenzyl-CN (in DMSO),DMSO,19.67,0.68,0,3,DOI: 10.1021/jo802241x
633,anion of 4-nitrobenzyl-CN (in MeCN),MeCN,20.10,0.71,0,3,DOI: 10.1021/jacs.0c01960
634,anion of 5-(p-anisyl) Meldrum's acid (in DMSO),DMSO,12.35,0.90,0,2,DOI: 10.1002/ejoc.201600107
635,anion of 5-phenyl Meldrum's acid (in DMSO),DMSO,11.54,0.95,0,3,DOI: 10.1002/ejoc.201600107
636,anion of acetylacetone (in DMSO),DMSO,17.64,0.73,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
637,anion of acetylacetone (in water),water,13.73,0.64,0,3,DOI: 10.1021/ja036838e
638,anion of benzyl trifluoromethyl sulfone (in DMSO),DMSO,18.67,0.68,0,3,DOI: 10.1021/ja072135b
639,anion of diethyl 2-(4-nitrophenyl)malonate (in DMSO),DMSO,14.94,0.96,0,3,DOI: 10.1002/ejoc.201600107
640,anion of diethyl 2-(acetyl)malonate (in DMSO),DMSO,13.83,0.84,0,3,DOI: 10.1002/ejoc.201600107
641,anion of diethyl 2-(benzoyl)malonate (in DMSO),DMSO,13.63,0.80,0,3,DOI: 10.1002/ejoc.201600107
642,anion of diethyl 2-(isopropyl)malonate (in DMSO),DMSO,18.74,0.71,0,3,DOI: 10.1002/ejoc.201600107
643,anion of diethyl 2-(p-anisyl)malonate (in DMSO),DMSO,16.73,0.91,0,3,DOI: 10.1002/ejoc.201600107
644,anion of diethyl 2-butylmalonate (in DMSO),DMSO,23.00,0.55,0,3,DOI: 10.1002/ejoc.201600107
645,anion of diethyl 2-cyclohexylmalonate (in DMSO),DMSO,19.23,0.67,0,3,DOI: 10.1002/ejoc.201600107
646,anion of diethyl 2-phenylmalonate (in DMSO),DMSO,15.93,0.99,0,3,DOI: 10.1002/ejoc.201600107
647,anion of diethyl malonate (in DMSO),DMSO,20.22,0.65,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
648,anion of diethyl malonate (in water),water,16.15,0.66,0,3,DOI: 10.1021/ja036838e
649,anion of diethyl methylmalonate (in DMSO),DMSO,21.13,0.68,0,3,DOI: 10.1021/ja036838e
650,anion of diethyl methylmalonate (in water),water,17.68,0.50,0,1,DOI: 10.1021/ja036838e
651,anion of dimedone (in DMSO),DMSO,16.27,0.77,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
652,anion of dimedone (in water),water,11.77,0.63,0,3,DOI: 10.1021/ja036838e
653,anion of dimethyl malonate (in 91M9AN),MeOH-MeCN mix,18.24,0.64,0,3,DOI: 10.1002/ejoc.200500769
654,anion of ethyl 2-cyano-2-phenylacetate (in DMSO),DMSO,15.85,1.04,0,3,DOI: 10.1002/ejoc.201601513
655,anion of ethyl 2-nitroacetate (in DMSO),DMSO,15.24,0.74,0,3,DOI: 10.1002/chem.201404500
656,anion of ethyl 3-oxo-3-phenylpropanoate  (in DMSO),DMSO,17.52,0.74,0,3,DOI: 10.1002/chem.201404500
657,anion of ethyl acetylacetate (in DMSO),DMSO,18.82,0.69,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
658,anion of ethyl acetylacetate (in water),water,15.99,0.62,0,3,DOI: 10.1021/ja036838e
659,anion of ethyl cyanoacetate (in 91M9AN),MeOH-MeCN mix,18.59,0.65,0,3,DOI: 10.1002/ejoc.200500769
660,anion of ethyl cyanoacetate (in DMSO),DMSO,19.62,0.67,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
661,anion of ethyl cyanoacetate (in water),water,15.57,0.58,0,3,DOI: 10.1021/ja036838e
662,anion of malononitrile (in 91M9AN),MeOH-MeCN mix,18.21,0.69,0,3,DOI: 10.1002/ejoc.200500769
663,anion of malononitrile (in DMSO),DMSO,19.36,0.67,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
664,anion of malononitrile (in water),water,19.50,0.55,0,3,DOI: 10.1021/ja036838e
665,anion of Meldrum's acid (in water),water,12.06,0.66,0,3,DOI: 10.1021/ja036838e
666,anion of Meldrums acid (in DMSO),DMSO,13.91,0.86,0,3,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
667,"anion of N,N-diethyl-3-oxo-3-phenylpropanoate (in DMSO)",DMSO,19.28,0.65,0,3,DOI: 10.1002/chem.201404500
668,anion of nitroethane (in 91M9AN),MeOH-MeCN mix,13.41,0.67,0,3,DOI: 10.1002/ejoc.200500769
669,anion of nitroethane (in DMSO),DMSO,21.54,0.62,0,3,DOI: 10.1021/jo0344182
670,anion of nitroethane (in water),water,11.25,0.52,0,3,DOI: 10.1021/jo048773j
